;CNT;CNTSTUID;DS269Q01C;DS269Q03C;CS269Q04S;CS408Q01S;DS408Q03C;CS408Q04S;CS408Q05S;CS466Q01S;CS466Q05S;CS466Q07S;DS519Q01C;CS519Q02S;DS519Q03C;CS521Q02S;CS521Q06S;CS527Q01S;CS527Q03S;CS527Q04S
68;Brazil;7622856.0;0.0;-1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0
69;Brazil;7608690.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;1.0;0.0;0.0;1.0;0.0
70;Brazil;7603062.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;-1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
71;Brazil;7604462.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0;-1.0;-1.0;0.0;0.0;-1.0;1.0;0.0;0.0;0.0;-1.0
72;Brazil;7601089.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0
73;Brazil;7606378.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;1.0;0.0;0.0;1.0;0.0;0.0;-1.0
74;Brazil;7603844.0;0.0;-1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;-1.0;0.0;1.0;0.0;1.0;1.0
75;Brazil;7613909.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;-1.0;-1.0;-1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0
76;Brazil;7622200.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0
77;Brazil;7603842.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;-1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
78;Brazil;7629523.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
79;Brazil;7628137.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
80;Brazil;7607354.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;-1.0;-1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
81;Brazil;7625788.0;-1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
82;Brazil;7628601.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-1.0;1.0;-1.0;1.0;1.0;0.0;1.0;1.0
83;Brazil;7608570.0;0.0;-1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
84;Brazil;7615145.0;0.0;-1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-1.0;1.0;-1.0;1.0;1.0;0.0;0.0;0.0
85;Brazil;7625709.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0
86;Brazil;7606148.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
87;Brazil;7604719.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0
88;Brazil;7604941.0;0.0;0.0;0.0;0.0;-1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
89;Brazil;7616584.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0
90;Brazil;7603827.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0
91;Brazil;7614758.0;1.0;0.0;1.0;0.0;0.0;0.0;-1.0;1.0;0.0;0.0;-1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0
92;Brazil;7627168.0;0.0;-1.0;0.0;1.0;-1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.0;1.0;0.0;0.0;0.0;0.0
93;Brazil;7613176.0;1.0;1.0;1.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;1.0;0.0;1.0;1.0
94;Brazil;7624367.0;0.0;-1.0;0.0;0.0;-1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;1.0
95;Brazil;7608613.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
96;Brazil;7612844.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
97;Brazil;7627677.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;-1.0;-1.0;-1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;-1.0
98;Brazil;7614506.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
99;Brazil;7623229.0;0.0;-1.0;1.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;-1.0;1.0;-1.0;0.0;1.0;0.0;1.0;0.0
100;Brazil;7619932.0;1.0;-1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0
101;Brazil;7613497.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;-1.0;0.0;1.0;0.0;1.0;0.0
